Localisation	Id. source	Segment source	Segment cible	Id. cible
1.3.3	yT9V8fg	et tenere monarchiam :	quando alguna çibdat auie señorio e tenie sennorio sobre las otras	glh3IAF
3.2.4	mrBWRFw	dominari unum et facere monarchiam ,	en quanto ellos tienen logar de vno el sennorio de vno es meior e fazer tal monarchia de vno	rhUc5Yv
3.2.4	bndxlI9	et multorum pedum . Non ergo dici poterit talem unum monarchiam non cognoscere multa ;	e non sepa muchͣs cosas . | por que quanto parte nesçe al gouernamientod el regno	yX72poJ, uK335xD
3.2.13	dtrehx0	non ut possideant monarchiam ,	non por que ayan el su señorio	hCBrBUg
3.2.14	zawFlei	ut tyrannis populi contrariatur tyrannidi monarchiae :	assi cotio la tirania del pueblo | escontrana ala tirama del mal prinçipado	g9IsygV, gq3zjn0
3.2.14	hk4SuJ1	et tyrannis populi corrumpit tyrannidem monarchiam . Sic	la tirama del pueblo corronpe | e destruye la tirana del prinçipe	iPpixqU, oKMmpCA
