Localisation	Id. source	Segment source	Segment cible	Id. cible
2.3.8	mrTDvkM	detestabilius est in Rege non habere ueram aestimationem de fine quam in populo ,	mas de denostares enl Rey de non auer uerdadera estimaçonn dela fin | que enl pueblo	vynsUKQ, nu5KUQQ
2.3.19	u7vx6T4	quod persona Principis non debet apparere seuera ,	que la persona del prinçipe non deue paresçer cruel	uv5h2FR
3.2.9	s07TsOc	et Principem non ostendere se nimis terribilem et seuerum ,	de non mostrarsse muy espantable nin muy cruel .	yK2iVzw
3.2.23	ipNAQ9P	et ut sit clemens potius quam seuerus . Primum est ipsa natura humana ,	que deue penssar es la natura humanal . | Lo segundo deue tener mientes al ponedor dela ley ¶	hWKIL6G, zGBDwSZ
