Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.32	mgODrV8	Empero por que han los poderios del alma dessoluidos	tamen quia habent potentias animae dissolutas ,	a2sdIA8
1.3.4	s370WPh	Et pues que assi es las riquezas e los poderios ciuiles	et ciuilem potentiam ,	vh4JTi9
1.3.5	mtvk1yw	e si se tiran de algunos bienes altos e grandes meresçen perdon por que el poderio ciuil	et subtrahunt se ab aliquibus bonis arduis ,	o64OKDQ
1.3.5	pBs8ALl	e el poderio çiuil e abondança de riquezas non se pueden escusar	quia ciuilis potentia , diuitiae ,	odYY0Uv
1.3.9	hWxihmh	assi commo al poderio enssannador e al poderio cobdiçiador ¶	ut comparantur ad potentias animae ,	tAa9iXJ
1.4.1	j3TN2md	assi commo la nobleza et el poderio	ut nobilitas , potentia , et diuitiae , non modicum mores diuersificant .	kz1BdzP
1.4.7	zpSMLUR	ra nobleza e la riqueza e el poderio çiuil son bienes contados entre los bienes de fuera	Nobilitas , diuitiae ,	myIjHfz
1.4.7	aLD6S1l	los quales fallesçen en poderio çiuil	qui tamen deficiunt in ciuili potentia :	t1jDXqc
1.4.7	cdkUam6	Ca aquellos que son en algun poderio o en algun prinçipado	Nam qui est in aliquo potentatu , | vel in aliquo principatu ,	zctxa0m, iQgi5sc
1.4.7	p7aREyo	por que son costrintados de entender çerca las obras del poderio	quia coacti sunt intendere circa opera potentatus ,	m3L3Ns3
1.4.7	giEq09j	Et por ende los ricos sinon abondan en poderio çiuil	retrahitur ab alio . Diuites ergo | si non abundent in ciuili potentia ,	tzhwiqo, ummWuo8
1.4.7	dqjjt8g	si non fueren a ellas ayuntado el poderio	si eas non concomitentur potentatus et nobilitas ,	waDY7Qg
1.4.7	wMVEKCf	nin es en algun poderio en la mayor parte	quod nec est nobilis , nec est in aliquo potentatu ,	cpaPyID
1.4.7	yDd2hS3	que son rriquezas nobleza e poderio .	videlicet , diuitiis , nobilitate , potentia :	ks200IC
1.4.7	cQXU7TR	e por su poderio	et oportet eos diuersis curis intendere ,	l8OpBFs
2.1.6	thHpok0	por la qual cosa si non ha poderio de obrar	quare si est impotens ad agendum ,	w1x6vxF
2.1.6	z2v1ruP	ca los fijos e el poderio çiuil	Nam filii , et ciuilis potentia ,	yA7CSlO
2.1.12	k6bw6N3	que aya abondança de poderio çiuil	sic ad esse pacificum requiritur abundantia ciuilis potentiae	pmyHyKd
2.1.12	o6CFFTu	Et pues que assi es aquel que non ha poderio çiuil	Qui ergo caret ciuili potentia	es0tM00
2.1.12	hkzpgI9	e que por ellas abonden en poderio çiuil	et quod per eas abundent in ciuili potentia ,	id71He5
2.1.13	bITe0IO	por tal casamiento pueden auer poderio çiuil	et quomodo per tale coniugium consequi possint ciuilem potentiam ,	zsGWMZ9
2.1.19	zFE1bEe	Mas los que abondan en nobleza e en rianza e en poderio çiuil	et diuitiis , | et ciuili potentia ,	kUycR19, yWFbYG8
2.2.3	fpLGDzL	si non fuere en poderio del subdito	nisi sit in potestate subiecti eligere sibi rectorem :	brNRg68
2.2.3	sKvyoLm	Mas non es en poderio de los fijos de escoger assi mismos padres	non est autem in potestate filiorum eligere sibi patrem ,	ddBKfUS
2.3.14	rpqdYal	Mas el poderio çiuil	Sed ciuilis potentia	xY8ulcJ
