Localisation	Id. source	Segment source	Segment cible	Id. cible
1.1.7	abmomVA	e ennobleçida de tales uirtudes	esse ornatam talibus virtutibus ,	dTfi71r
2.1.18	aWpVEKD	los mas los mas son ennoblesçidos	Nam secundum eundem Philosophum in Polit’ mares plus vigent ratione quam foeminae :	eItVJnC
2.2.7	v1Mgevl	Ca si los prinçipes non fueren ennoblesçidos	Nam nisi princeps vigeat prudentia	vBwosvH
2.3.7	gKNInfo	que son ennoblesçidos	naturaliter debent esse subiecti hominibus pollentibus subtilitate et prudentia .	jW1rRQ7
2.3.13	mjv11b0	o por conparaçion delas fenbras a los uatones . Ca ueemos que por que el uaton es mas ennoblesçido en razon	eo quod sit ratione prestantior ,	pxs8KVb
2.3.18	jI0vubu	e menos ennoblesçidos en costunbres que los otros .	et sunt peruersiores aliis | secundum mores .	oLghDDV, e3xIwUR
