Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.7	t1fv5Ik	¶ la terçera <b> que sin la pradençia non puede seer senor naturalmente¶ </b> La primera manera se declara assi .	Secundo , quia sine ea de facili vertitur in tyrannum . <b> Tertio , quia sine ipsa non potest naturaliter dominari . </b> Prima via sic patet .	flJIwai
2.2.7	iGQaVSi	e alas sçiençias liberales . <b> Ca assi conmodicho es de suso ninguno non es dich̃ sennor naturalmente </b> si non fuere enoblesçido	ab ipsa infantia eos tradere literalibus disciplinis . <b> Nam ( ut superius dicebatur ) | nullus est naturaliter dominus , </b> nisi vigeat prudentia et intellectu .	zh0hgnC, vuTc22o
3.2.5	p0if3UM	que muchs males nasçen enlas çibdades <b> e en los regnos do non ay algun sennor natural </b> ca contesçe	plura mala oriri in ciuitatibus et regnis , <b> ubi non est dominus aliquis naturalis : </b> nam contingit ea aliquando diu carere gubernatore ,	kLSCR7A
