Localisation	Id. source	Segment source	Segment cible	Id. cible
2.2.7	ycclQac	Lo primero paresce assi . <b> Ca conuiene que los que quieren aprinder sçiençia de letris </b> que aprendan pronunçiar departidamente las palabras delas letras ¶	quae est ex scientia acquirenda . <b> Decet enim volentes literas discere , </b> literales sermones scire distincte proferre .	cFnTaeU
2.3.15	fwI7EcP	e el amor de bien los inclina asuir . <b> Conuiene que los prinçipes se ayan çerca ellos </b> assi commo cerca de fijos .	quos virtus et amor boni inclinat ad seruiendum , <b> decet principantes se habere quasi ad filios , </b> et decet eos regere non regimine seruili ,	qsogAE9
3.3.1	clUXhcZ	Et todas estas tres sabidurias <b> conuiene que aya el Rey . </b> Conuiene a saber .	et gubernare ciues . <b> Omnes autem tres prudentias decet habere Regem , </b> videlicet particularem , oeconomicam et regnatiuam .	ypSzamK
