Localisation	Id. source	Segment source	Segment cible	Id. cible
2.3.16	nZRFPLh	quia sunt decipientes , <b> et defraudantes iura legalia : aliqui vero male consequuntur ipsum , </b> sed non ex malitia voluntatis ,	as otros ay <b> que fazen mal el ofiçio | que les esacomne dado </b> mas esto non es por maliçia de uoluntad .	tYGaMfk, zNnK2WA
2.3.16	u8M7ksr	nec fraudent , decipiuntur <b> tamen et defraudantur . </b> Conditio ergo ministrantium esse debet ,	que ellos non engannen <b> nin amenguen los derechs de los sennores . enpero son engannados e menguados en ssi por non lo entender ¶ Et pues que assi es las condiconnes de los seruientes deuen ser tales </b> que ellos sean fieles e sabios conuiene saber	lELpqP8
2.3.16	ajaXYAB	prudentes vero quantum ad industriam intellectus , <b> ne per insipientiam defraudentur . </b> Fidelitas autem cognosci habet per diuturnitatem :	quanto al acuçia del entendimiento <b> por que non sean engannados | por non saber . </b> Mas la fiesdat se puede conosçer	kVd2rOy, k6bSdln
2.3.19	thistKg	nam si minister constituendus in aliquo officio vel in aliquo magistratu debet esse fidelis <b> ne defraudet , </b> prudens	ca si el seruiente es de poner en algun ofiçio o en algun mahestradgo deue ser fiel <b> por que non enganne e sabio </b> por qua non sea engannado .	wl7MvGz
2.3.19	yAicJDv	prudens <b> ne defraudetur : </b> quanto plus constat de eius fidelitate et prudentia ,	por que non enganne e sabio <b> por qua non sea engannado . </b> por que quanto mas es omne çierto de su fieldat	r3F74XF
3.2.19	e2EbdN4	Rursus est attendendum , <b> ne in suis prouentibus defraudetur : </b> expedit enim regium consilium pro viribus saluare iura Regis ,	sin derech <b> lo segundo ha de tener mient̃s el Rey de non ser engannado enlas sus rentas . | ca conuiene que el conseio del Rey sea bue no </b> para saluar	heVIpac, qGZLg9d
